Feature,Type,combined_score,Max_Correlation,MI_Score,ANOVA_F_Stat
handover_count,Categorical,0.8,0.9989564851587469,0.77574509869976,
dist_max_m,Numeric,0.7438782887388699,0.9796609585843846,0.3007443893889312,8257.964361065155
dist_p95_m,Numeric,0.7408429708405546,0.9799977144506564,0.28786814742934164,8403.73426097867
speed_max_kmh,Numeric,0.6643523454302717,0.9545220229886234,0.3853028442844111,3507.4116293677225
ping_pong_handover_count,Categorical,0.619392302178986,0.9987481739302995,0.42564302298839163,
speed_above_40_flag,Categorical,0.6140539009941152,0.9987481739302996,0.41528992660325015,
frequent_handover_flag,Categorical,0.6118042827136729,0.9987481739302995,0.410927100715754,
overshoot_flag,Categorical,0.6053769617492161,0.9987481739302995,0.398462193875885,
ping_pong_detected,Categorical,0.6043823413828173,0.9987481739302995,0.39653326419013313,
rb_mean,Numeric,0.5052094493311233,0.9335028782513286,0.1478304095016605,2319.2479312946143
abnormal_path_loss,Categorical,0.49693532889186753,0.9002925454913397,0.264610785352807,
speed_mean_kmh,Numeric,0.49289595828638394,0.8474477222867629,0.25759492903309855,871.5856350278885
rb_min,Numeric,0.48510465750356213,0.9150317231205162,0.14904359465514005,1758.9780884120157
throughput_variance_across_cells,Numeric,0.47861573548619657,0.8151652862610644,0.26387860517883555,678.5638356207049
noncolocated_strong_neighbor_gnodeb_count_mean,Numeric,0.4502518236668013,0.6186259853443641,0.37836910095358256,312.9611121245924
avg_throughput_change_after_handover,Numeric,0.40414927120028055,0.6756150126848336,0.24552571830973768,295.166451468476
throughput_improved_by_handover,Categorical,0.36937095471315395,0.6587761630595999,0.2047680522933515,
noncolocated_neighbor_count,Numeric,0.3689331977006614,0.5215549849524828,0.30459062223414657,127.78847536768893
tp_drop_with_high_rb_ratio,Categorical,0.3612453454682099,0.44065227346782426,0.3583948427577339,
colocated_neighbor_count,Categorical,0.3491611606469843,0.4456424048184695,0.33108411121485126,
high_sinr_volatility,Categorical,0.30377523809360873,0.560208327376515,0.15409755271870162,
better_cell_available,Categorical,0.26498817921756973,0.5477963355940143,0.0885139754908657,
best_cell_throughput_gap,Numeric,0.2585359910757025,0.5587080127624787,0.06027054425917422,157.4371270089953
rsrp_min_dbm,Numeric,0.25178844634914227,0.5979113564724755,0.015220512025643451,190.38033203901205
c4_overlap_index,Categorical,0.2506508692577415,0.3843975646175179,0.18759693611031825,
path_loss_deviation_mean,Numeric,0.24252298588618842,0.3229231305753496,0.21756556010187866,43.69218306989318
throughput_efficiency_min,Numeric,0.20948166074800914,0.5155943961524377,0.0,127.46304068488222
noncolocated_strong_neighbor_gnodeb_count_max,Categorical,0.2078651938710364,0.3484365519012897,0.13254571143326999,
rsrp_gradient_db_per_100m,Numeric,0.2076002657212645,0.06653112105405463,0.3508538010061728,2.2359533710044692
neighbors_competitive_flag,Categorical,0.20007942551088187,0.3564645353501804,0.11121210805447657,
noncolocated_boresight_hits_max,Categorical,0.1951124351824312,0.4139425565323514,0.05694444168332158,
c4_overlap_index_high,Categorical,0.18130474734811802,0.3312267525713895,0.09439973430101167,
cochannel_interference_power_ratio_db_mean,Numeric,0.17410744526349176,0.27333032815623076,0.12384620794105583,33.90714526878156
noncolocated_boresight_hits_mean,Numeric,0.17140340220659347,0.25704771190624875,0.13040324186580676,52.17564184858112
serving_electronic_tilt_deg,Categorical,0.1644285960934661,0.0,0.31888669376397205,
rb_below_160_flag,Categorical,0.1637011708055739,0.36103070752394545,0.03711559021909494,
